Name,Age,2024 Net Worth,Industry,Source of Wealth,Self-Made,Residence,Citizenship,Gender,Marital Status,Children
Taha Mikati,79,$2.8B,Telecom,Telecom,TRUE,"Beirut, Lebanon",Lebanon,M,Married,3
Bobby Murphy,35,$2.8B,Technology,Snapchat,TRUE,"Venice, California",United States,M,Single,N/A
Eugene Murtagh,81,$2.8B,Manufacturing,Building materials,TRUE,"Kingscourt, Ireland",Ireland,M,Widowed,5
Hans Georg Naeder,62,$2.8B,Manufacturing,Prosthetics,FALSE,"Duderstadt, Germany",Germany,M,Divorced,2
Nguyen Thi Phuong Thao,53,$2.8B,Diversified,Airlines,TRUE,"Ho Chi Minh City, Vietnam",Vietnam,F,Married,4
Philip Niarchos,70,$2.8B,Diversified,Art collection,FALSE,"Paris, France",Greece,M,Married,4
Denis O'Brien,65,$2.8B,Telecom,Telecom,TRUE,"Dublin, Ireland",Ireland,M,Married,4
Dan Olsson,77,$2.8B,Diversified,Diversified,FALSE,"Gothenburg, Sweden",Sweden,M,Married,N/A
Doug Ostrover,61,$2.8B,Finance & Investments,Private equity,TRUE,"Greenwich, Connecticut",United States,M,Married,4
Ranjan Pai,51,$2.8B,Healthcare,"Education, healthcare",FALSE,"Bangalore, India",India,M,Married,2
Lirio Parisotto,70,$2.8B,Finance & Investments,Investments,TRUE,"Manaus, Brazil",Brazil,M,Divorced,1
Sean Parker,44,$2.8B,Technology,Facebook,TRUE,"Los Angeles, California",United States,M,Married,2
Florentino Perez,77,$2.8B,Construction & Engineering,Construction,TRUE,"Madrid, Spain",Spain,M,Widowed,3
Ajay Piramal,68,$2.8B,Healthcare,Pharmaceuticals,FALSE,"Mumbai, India",India,M,Married,2
Qiu Guanghe & family,72,$2.8B,Fashion & Retail,Fashion retail,TRUE,"Wenzhou, China",China,M,Married,2
Alexander Ramlie,51,$2.8B,Metals & Mining,mining,TRUE,"Jakarta, Indonesia",Indonesia,M,N/A,N/A
Alexey Repik,44,$2.8B,Healthcare,Pharmaceuticals,TRUE,"Moscow, Russia",Russia,M,Married,4
Alejandro Santo Domingo,47,$2.8B,Food & Beverage,Beer,FALSE,"New York, New York",United States,M,Married,N/A
Arnout Schuijff,56,$2.8B,Technology,Payments software,TRUE,"Amsterdam, Netherlands",Netherlands,M,Married,N/A
Alberto Siccardi & family,79,$2.8B,Healthcare,Medical devices,FALSE,"Lugano, Switzerland",Switzerland,M,Married,3
Su Hua,42,$2.8B,Media & Entertainment,Video streaming,TRUE,"Beijing, China",China,M,N/A,N/A
Sun Guangxin,61,$2.8B,Diversified,Diversified,TRUE,"Urumqi, China",China,M,Married,2
Kevin Systrom,40,$2.8B,Technology,Instagram,TRUE,"San Francisco, California",United States,M,Married,1
Roman Trotsenko,53,$2.8B,Logistics,"Transport, engineering, real estate",TRUE,"Moscow, Russia",Russia,M,Married,2
Alan Wilson,83,$2.8B,Fashion & Retail,Retailing,FALSE,"Melbourne, Australia",Australia,M,Married,3
Bruce Wilson,77,$2.8B,Fashion & Retail,Retailing,FALSE,"Melbourne, Australia",Australia,M,Widowed,3
John Wilson,86,$2.8B,Fashion & Retail,Retailing,FALSE,"Melbourne, Australia",Australia,M,Married,2
Oprah Winfrey,70,$2.8B,Media & Entertainment,TV shows,TRUE,"Chicago, Illinois",United States,F,In Relationship,N/A
Zhou Chaonan,63,$2.8B,Manufacturing,manufacturing,TRUE,"Langfang, China",China,F,N/A,N/A
Anne Beaufour,60,$2.7B,Healthcare,Pharmaceuticals,FALSE,United Kingdom,France,F,Married,N/A
Henri Beaufour,58,$2.7B,Healthcare,Pharmaceuticals,FALSE,"London, United Kingdom",France,M,Married,N/A
Vivek Chand Burman,86,$2.7B,Food & Beverage,Consumer goods,FALSE,"Delhi, India",India,M,Married,2
Cen Junda,59,$2.7B,Healthcare,Pharmaceuticals,TRUE,"Lianyungang, China",China,M,N/A,N/A
Yadu Hari Dalmia & family,76,$2.7B,Manufacturing,Cement,FALSE,"Delhi, India",India,M,Married,2
Daniel Dines,52,$2.7B,Technology,Software,TRUE,"New York, New York",Romania,M,Married,1
Kenneth Feld & family,75,$2.7B,Media & Entertainment,Live entertainment,FALSE,"Sarasota, Florida",United States,M,Separated,3
Sophie Luise Fielmann,29,$2.7B,Manufacturing,Optometry,FALSE,Germany,Germany,F,N/A,N/A
Gerald Ford,79,$2.7B,Finance & Investments,Banking,TRUE,"Dallas, Texas",United States,M,Married,6
Sebastian Glaser,45,$2.7B,Technology,Sensor technology,FALSE,"Munich, Germany",Germany,M,N/A,N/A
Mitchell Goldhar,62,$2.7B,Real Estate,Real estate,TRUE,"North York, Canada",Canada,M,Single,N/A
Peter Hargreaves,77,$2.7B,Finance & Investments,Financial services,TRUE,"Bristol, United Kingdom",United Kingdom,M,Married,2
Gudrun Heine,69,$2.7B,Healthcare,Medical devices,FALSE,"Ohningen, Germany",Germany,F,N/A,N/A
Michael Hintze,70,$2.7B,Finance & Investments,Investment,TRUE,"London, United Kingdom",Australia,M,Married,4
Erman Ilicak,56,$2.7B,Construction & Engineering,Construction,TRUE,"Ankara, Turkey",Turkey,M,Married,3
Thomas James,81,$2.7B,Finance & Investments,Finance,FALSE,"Saint Petersburg, Florida",United States,M,Married,2
Brad Kelley,67,$2.7B,Real Estate,Tobacco,TRUE,"Franklin, Tennessee",United States,M,Married,3
Mustafa Rahmi Koc,93,$2.7B,Diversified,Diversified,FALSE,"Istanbul, Turkey",Turkey,M,Divorced,3
Hans Langer,72,$2.7B,Manufacturing,3D printing,TRUE,"Gräfelfing, Germany",Germany,M,Married,2
Wolfgang Leitner,71,$2.7B,Construction & Engineering,Engineering,TRUE,"Graz, Austria",Austria,M,Married,2
Leng Youbin,55,$2.7B,Food & Beverage,Infant formula,TRUE,"Beijing, China",China,M,N/A,N/A
Li Hongxin & family,71,$2.7B,Manufacturing,Paper & related products,TRUE,"Yanzhou, China",China,M,Married,3
Kiran Mazumdar-Shaw,71,$2.7B,Healthcare,Biopharmaceuticals,TRUE,"Bangalore, India",India,F,Widowed,N/A
Hans Melchers,85,$2.7B,Finance & Investments,"Chemicals, investments",TRUE,"Vorden, Netherlands",Netherlands,M,Married,2
Nirmal Minda,66,$2.7B,Automotive,Auto parts,FALSE,"Gurgaon, India",India,M,Married,2
Farhad Moshiri,68,$2.7B,Diversified,Diversified,TRUE,"Monaco, Monaco",United Kingdom,M,Separated,2
Vadim Moshkovich,57,$2.7B,Food & Beverage,"Agriculture, land",TRUE,"Moscow, Russia",Russia,M,Married,3
Patrice Motsepe,62,$2.7B,Metals & Mining,Mining,TRUE,"Johannesburg, South Africa",South Africa,M,Married,3
Timm Oberwelland,54,$2.7B,Food & Beverage,Candy,FALSE,N/A,Germany,M,Married,N/A
Kentaro Ogawa,75,$2.7B,Food & Beverage,Restaurants,TRUE,"Tokyo, Japan",Japan,M,Married,N/A
Maren Otto,82,$2.7B,Diversified,"Retail, real estate",FALSE,"Berlin, Germany",Germany,F,Widowed,N/A
Alberto Prada,70,$2.7B,Fashion & Retail,Luxury goods,FALSE,"Milan, Italy",Italy,M,N/A,N/A
Marina Prada,78,$2.7B,Fashion & Retail,Luxury goods,FALSE,"Milan, Italy",Italy,F,N/A,N/A
John Pritzker,70,$2.7B,Finance & Investments,"Hotels, investments",FALSE,"San Francisco, California",United States,M,Married,3
Phil Ruffin,89,$2.7B,Diversified,"Casinos, real estate",TRUE,"Las Vegas, Nevada",United States,M,Married,5
Maria-Elisabeth Schaeffler-Thumann,82,$2.7B,Automotive,Auto parts,FALSE,"Herzogenaurach, Germany",Germany,F,Married,N/A
Edward Stack,69,$2.7B,Fashion & Retail,Dick's Sporting Goods,TRUE,"Sewickley, Pennsylvania",United States,M,Married,N/A
Nik Storonsky,39,$2.7B,Finance & Investments,Fintech,TRUE,"London, United Kingdom",United Kingdom,M,Married,2
Sybill Storz,87,$2.7B,Healthcare,Medical devices,FALSE,"Leipzig, Germany",Germany,F,Married,1
Jeff Sutton,64,$2.7B,Real Estate,Real estate,TRUE,"New York, New York",United States,M,Married,5
Peter Unger,79,$2.7B,Automotive,Auto repair,TRUE,"Neustadt an der Waldnaab, Germany",Germany,M,Married,2
Bulat Utemuratov,66,$2.7B,Metals & Mining,"Mining, banking, hotels",TRUE,"Nur-Sultan, Kazakhstan",Kazakhstan,M,Married,3
Cameron Winklevoss,42,$2.7B,Finance & Investments,Cryptocurrency,TRUE,"New York, New York",United States,M,N/A,N/A
Tyler Winklevoss,42,$2.7B,Finance & Investments,Cryptocurrency,TRUE,"New York, New York",United States,M,N/A,N/A
Zhang Xinghai & family,61,$2.7B,Manufacturing,Machinery,TRUE,"Chongqing, China",China,M,Married,N/A
Zhao Lixin,58,$2.7B,Technology,Electronics,TRUE,"Shanghai, China",China,M,Married,N/A
Zheng Jianjiang & family,63,$2.7B,Manufacturing,Electrical equipment,TRUE,"Ningbo, China",China,M,Married,N/A
Zhou Jian,47,$2.7B,Technology,robotics,TRUE,"Shenzhen, China",China,M,N/A,N/A
Ulrike Baro,74,$2.6B,Healthcare,Biopharmaceuticals,FALSE,"Munich, Germany",Germany,F,N/A,N/A
David Baszucki,61,$2.6B,Media & Entertainment,Online games,TRUE,"San Francisco, California",United States,M,Married,4
Wilhelm Beier & family,67,$2.6B,Healthcare,Pharmaceuticals,TRUE,Germany,Germany,M,N/A,N/A
Koos Bekker,71,$2.6B,Media & Entertainment,"Media, investments",TRUE,"Cape Town, South Africa",South Africa,M,Married,2
Sanjeev Bikhchandani,60,$2.6B,Technology,Internet,TRUE,"Delhi, India",India,M,Married,2
Martin Bouygues,N/A,$2.6B,Construction & Engineering,"Construction, media",FALSE,"Paris, France",France,M,N/A,N/A
Olivier Bouygues,73,$2.6B,Construction & Engineering,"Construction, media",FALSE,"Neuilly-sur-Seine, France",France,M,Married,1
"Roy Carroll, II.",61,$2.6B,Real Estate,Real estate,TRUE,"Greensboro, North Carolina",United States,M,Married,3
Herb Chambers,82,$2.6B,Automotive,Car dealerships,TRUE,"Boston, Massachusetts",United States,M,Single,N/A
Chan Tan Ching-fen,N/A,$2.6B,Real Estate,Real estate,FALSE,"Hong Kong, Hong Kong",Hong Kong,F,Widowed,2
Chen Kaixuan,65,$2.6B,Manufacturing,Household chemicals,TRUE,"Guangzhou, China",China,M,N/A,N/A
Sol Daurella,58,$2.6B,Food & Beverage,Coca-Cola bottler,FALSE,"Madrid, Spain",Spain,F,Married,N/A
Deng Wen,56,$2.6B,Food & Beverage,Flavorings,TRUE,"Chengdu, China",China,M,Married,N/A
Beda Diethelm,83,$2.6B,Healthcare,Hearing aids,TRUE,"Zurich, Switzerland",Switzerland,M,N/A,N/A
Ralph Dommermuth,60,$2.6B,Technology,Internet service provider,TRUE,"Montabaur, Germany",Germany,M,Married,1
"John Dorrance, III.",80,$2.6B,Food & Beverage,Campbell Soup,FALSE,"Dublin, Ireland",Ireland,M,Married,2
John Elkann,48,$2.6B,Finance & Investments,"FIAT, investments",FALSE,"Turin, Italy",Italy,M,N/A,N/A
Feng Hailiang,63,$2.6B,Metals & Mining,"Copper, education",TRUE,"Zhuji, China",China,M,Married,2
Balkrishan Goenka,57,$2.6B,Manufacturing,Textiles,TRUE,"Mumbai, India",India,M,Married,2
Alexandre Grendene Bartelle,74,$2.6B,Fashion & Retail,Shoes,TRUE,"Porto Alegre, Brazil",Brazil,M,Single,7
Bertil Hult,83,$2.6B,Service,Education,TRUE,"Lucerne, Switzerland",Sweden,M,Married,4
Stephen Lansdown,71,$2.6B,Finance & Investments,Financial services,TRUE,"St. Peter Port, Guernsey",Guernsey,M,Married,2
Henry Laufer,78,$2.6B,Finance & Investments,Hedge funds,TRUE,"Lake Worth, Florida",United States,M,Married,N/A
Lin Ming-hsiung,74,$2.6B,Fashion & Retail,Supermarkets,TRUE,"Taipei, Taiwan",Taiwan,M,Married,2
Vincent McMahon,78,$2.6B,Sports,Entertainment,TRUE,"Greenwich, Connecticut",United States,M,Married,2
Ravi Modi,47,$2.6B,Fashion & Retail,Readymade garments,TRUE,"Kolkata, India",India,M,Married,1
Benjamin Otto,48,$2.6B,Fashion & Retail,Retail,FALSE,"Hamburg, Germany",Germany,M,N/A,N/A
Julio Ponce Lerou,78,$2.6B,Metals & Mining,Fertilizer,TRUE,"Santiago, Chile",Chile,M,Divorced,1
Daniel Pritzker,64,$2.6B,Finance & Investments,"Hotels, investments",FALSE,"Marin County, California",United States,M,Married,5
George Prokopiou & family,77,$2.6B,Logistics,Shipping,TRUE,"Monaco, Monaco",Greece,M,Married,4
G. Rajendran,81,$2.6B,Fashion & Retail,Jewellery,TRUE,"Chennai, India",India,M,Married,N/A
"Bernard Saul, II. & family",91,$2.6B,Finance & Investments,"Banking, real estate",FALSE,"Chevy Chase, Maryland",United States,M,Married,5
Dwight Schar,82,$2.6B,Construction & Engineering,"Homebuilding, NFL team",TRUE,"Palm Beach, Florida",United States,M,Married,3
Anatoly Sedykh,59,$2.6B,Metals & Mining,Steel pipes,TRUE,"Moscow, Russia",Russia,M,Married,2
Bhadresh Shah,72,$2.6B,Manufacturing,Engineering,TRUE,"Ahmedabad, India",India,M,Married,2
Kavitark Ram Shriram,67,$2.6B,Technology,"Google, venture capital",TRUE,"Menlo Park, California",United States,M,Married,2
Hans Sy,68,$2.6B,Diversified,Diversified,FALSE,"Manila, Philippines",Philippines,M,Married,4
Tran Dinh Long,63,$2.6B,Manufacturing,Steel,TRUE,"Hanoi, Vietnam",Vietnam,M,Married,N/A
Alan Trefler,68,$2.6B,Technology,Software,TRUE,"Brookline, Massachusetts",United States,M,Married,N/A
Tung Chee Hwa,86,$2.6B,Logistics,Shipping,FALSE,"Hong Kong, Hong Kong",Hong Kong,M,Married,3
Xie Weitong,67,$2.6B,Metals & Mining,Cobalt,TRUE,"Singapore, Singapore",Taiwan,M,N/A,N/A
Jerry Yang,55,$2.6B,Technology,Yahoo,TRUE,"Los Altos Hills, California",United States,M,Married,2
Zhu Xingming,57,$2.6B,Manufacturing,Electrical equipment,TRUE,"Shenzhen, China",China,M,N/A,N/A
Mortimer Zuckerman,86,$2.6B,Real Estate,"Real estate, media",TRUE,"New York, New York",United States,M,Divorced,2
Juan Abello,82,$2.5B,Finance & Investments,Investments,FALSE,"Madrid, Spain",Spain,M,Married,4
An Kang,75,$2.5B,Healthcare,Pharmaceuticals,TRUE,"Xinxiang, China",China,M,Married,N/A
Edward Bass,78,$2.5B,Energy,"Oil, investments",FALSE,"Fort Worth, Texas",United States,M,Married,1
Miriam Baumann-Blocher,49,$2.5B,Manufacturing,Chemicals,FALSE,"Rheinfelden, Switzerland",Switzerland,F,Married,N/A
Riley Bechtel & family,72,$2.5B,Construction & Engineering,"Engineering, construction",FALSE,"San Francisco, California",United States,M,Married,3
Andrew Bialecki,N/A,$2.5B,Technology,Marketing software,TRUE,N/A,United States,M,N/A,N/A
Christian Birkenstock,51,$2.5B,Fashion & Retail,Shoes,FALSE,"Kitzbuhel, Austria",Germany,M,N/A,N/A
Alberto Bombassei,83,$2.5B,Automotive,Automotive brakes,FALSE,"Bergamo, Italy",Italy,M,Married,2
Charles Bronfman,92,$2.5B,Food & Beverage,Liquor,FALSE,"Palm Beach, Florida",Canada,M,"Widowed, Remarried",2
Helena Dassault,34,$2.5B,Diversified,Inherited,FALSE,"Paris, France",France,F,Single,N/A
Remi Dassault,23,$2.5B,Diversified,Inherited,FALSE,"Paris, France",France,M,Single,N/A
K. Dinesh,69,$2.5B,Technology,Software services,TRUE,"Bangalore, India",India,M,Married,2
Joseph Edelman,68,$2.5B,Finance & Investments,Hedge funds,TRUE,"New York, New York",United States,M,Married,N/A
Ali Erdemoglu,64,$2.5B,Manufacturing,Carpet,TRUE,"Istanbul, Turkey",Turkey,M,Married,3
Bernard Fraisse & family,67,$2.5B,Healthcare,Pharmaceuticals,TRUE,"Paris, France",France,M,N/A,N/A
Christine Franken & family,79,$2.5B,Healthcare,Biopharmaceuticals,FALSE,"Bovenden, Germany",Germany,F,N/A,N/A
Paul Gauselmann & family,89,$2.5B,Gambling & Casinos,Gambling,TRUE,"Espelkamp, Germany",Germany,M,Married,4
Hans-Werner Hector,84,$2.5B,Technology,SAP,TRUE,"Weinheim, Germany",Germany,M,Married,N/A
Stuart Hoegner,N/A,$2.5B,Finance & Investments,Cryptocurrency,TRUE,"Toronto, Canada",Canada,M,N/A,N/A
Reid Hoffman,56,$2.5B,Technology,LinkedIn,TRUE,"Palo Alto, California",United States,M,Married,N/A
Hu Kaijun,62,$2.5B,Healthcare,Pharmaceuticals,TRUE,"Beijing, China",China,M,N/A,N/A
Jay-Z,54,$2.5B,Media & Entertainment,Music,TRUE,"New York, New York",United States,M,Married,3
Kei Hoi Pang,58,$2.5B,Real Estate,Real estate,TRUE,"Hong Kong, Hong Kong",China,M,Married,1
Kwek Leng Kee,69,$2.5B,Diversified,Diversified,FALSE,"Singapore, Singapore",Singapore,M,Married,N/A
Anthony Langley,69,$2.5B,Diversified,Manufacturing,TRUE,"Nottinghamshire, United Kingdom",United Kingdom,M,Married,3
Alexander Lutsenko & family,62,$2.5B,Food & Beverage,agribusiness,TRUE,Kaliningrad,Russia,M,Married,2
"Stephen Mandel, Jr.",68,$2.5B,Finance & Investments,Hedge funds,TRUE,"Greenwich, Connecticut",United States,M,Married,3
Natacha Nikolajevic,57,$2.5B,Diversified,Inherited,FALSE,"Paris, France",France,F,Widowed,2
Michael Novogratz,59,$2.5B,Finance & Investments,"Investments, cryptocurrency",TRUE,"New York, New York",United States,M,Married,4
Or Wai Sheun,72,$2.5B,Real Estate,Real estate,TRUE,"Hong Kong, Hong Kong",Hong Kong,M,Married,2
Issad Rebrab & family,80,$2.5B,Food & Beverage,Food,TRUE,"Algiers, Algeria",Algeria,M,Married,5
Richard Sands,73,$2.5B,Food & Beverage,Liquor,FALSE,"Delray Beach, Florida",United States,M,N/A,N/A
Alice Schwartz,97,$2.5B,Healthcare,Biotech,TRUE,"El Cerrito, California",United States,F,Widowed,2
Scott Shleifer,46,$2.5B,Finance & Investments,Private equity,TRUE,"New York, New York",United States,M,Married,N/A
Song Zuowen,77,$2.5B,Diversified,"Aluminum, diversified",TRUE,"Longkou, China",China,M,Married,2
Alexander Svetakov,56,$2.5B,Finance & Investments,Real estate,TRUE,"Moscow, Russia",Russia,M,Married,5
"Henry Sy, Jr.",70,$2.5B,Diversified,Diversified,FALSE,"Manila, Philippines",Philippines,M,Married,2
Herbert Sy,67,$2.5B,Diversified,Diversified,FALSE,"Manila, Philippines",Philippines,M,Married,N/A
Lucio Tan,89,$2.5B,Diversified,Diversified,TRUE,"Manila, Philippines",Philippines,M,Married,6
Larry Tanenbaum,78,$2.5B,Sports,Sports,TRUE,"Toronto, Canada",Canada,M,Married,3
Lottie Tham & family,74,$2.5B,Fashion & Retail,H&M,FALSE,"Stockholm, Sweden",Sweden,F,Married,3
T.Y. Tsai,71,$2.5B,Finance & Investments,Finance,FALSE,"Taipei, Taiwan",Taiwan,M,Married,1
Ted Turner,85,$2.5B,Media & Entertainment,Cable television,FALSE,"Atlanta, Georgia",United States,M,Divorced,5
John Tyson & family,70,$2.5B,Food & Beverage,Food processing,FALSE,"Springdale, Arkansas",United States,M,Single,2
Sekar Vembu,52,$2.5B,Technology,Business software,TRUE,"Chennai, India",India,M,N/A,N/A
Martin Viessmann,70,$2.5B,Manufacturing,Heating and cooling equipment,FALSE,"Allendorf, Germany",Germany,M,Married,2
Roger Wang,75,$2.5B,Fashion & Retail,Retail,TRUE,"Nanjing, China",United States,M,Married,2
Xie Liangzhi & family,58,$2.5B,Healthcare,Biotech,TRUE,"Beijing, China",China,M,Married,N/A
Gang Ye,43,$2.5B,Media & Entertainment,Gaming,TRUE,"Singapore, Singapore",Singapore,M,Married,2
Michael Minhong Yu,62,$2.5B,Service,Education,TRUE,"Beijing, China",China,M,Married,2
S. Daniel Abraham,99,$2.4B,Food & Beverage,Slim-Fast,TRUE,"Palm Beach, Florida",United States,M,Married,6
Cai Dongchen,71,$2.4B,Healthcare,Pharmaceuticals,TRUE,"Luancheng, China",China,M,N/A,N/A
Steve Case,65,$2.4B,Technology,AOL,TRUE,"McLean, Virginia",United States,M,Married,5
Chen Tei-fu,75,$2.4B,Fashion & Retail,Herbal products,TRUE,"Los Angeles, California",Taiwan,M,Married,5
Enrique Coppel Luken,76,$2.4B,Fashion & Retail,Diversified,FALSE,"Culiacan, Mexico",Mexico,M,N/A,N/A
Jim Crane,70,$2.4B,Sports,"Logistics, baseball",TRUE,"Houston, Texas",United States,M,Married,3
Henry Davis,73,$2.4B,Food & Beverage,Beef processing,FALSE,"Omaha, Nebraska",United States,M,Divorced,N/A
Dong Jinggui,N/A,$2.4B,Automotive,Electric scooters,TRUE,"Wuxi, China",China,M,Married,N/A
Bernard Ecclestone & family,93,$2.4B,Sports,Formula One,TRUE,"London, United Kingdom",United Kingdom,M,Married,2
Francois Feuillet & family,75,$2.4B,Automotive,"Motorhomes, RVs",FALSE,"Paris, France",France,M,Married,N/A
David Fong,66,$2.4B,Real Estate,Real estate,FALSE,"Hong Kong, Hong Kong",Hong Kong,M,Married,2
"Ernest Garcia, III",41,$2.4B,Automotive,used cars,FALSE,"Phoenix, Arizona",United States,M,N/A,N/A
Fiona Geminder,59,$2.4B,Manufacturing,Manufacturing,FALSE,"Melbourne, Australia",Australia,F,Married,4
Dennis Gillings,79,$2.4B,Healthcare,Clinical trials,TRUE,"Durham, North Carolina",United Kingdom,M,N/A,N/A
Sam Goi,77,$2.4B,Food & Beverage,Frozen foods,TRUE,"Singapore, Singapore",Singapore,M,Married,3
Surjit Kumar Gupta,82,$2.4B,Manufacturing,Electrical equipment,FALSE,"Delhi, India",India,M,Married,2
Ugo Gussalli Beretta & family,86,$2.4B,Manufacturing,Firearms,FALSE,"Brescia, Italy",Italy,M,Married,2
Shmuel Harlap,79,$2.4B,Automotive,Automotive,FALSE,"Tel Aviv, Israel",Israel,M,N/A,N/A
Bent Jensen & Family,72,$2.4B,Manufacturing,electric systems,FALSE,"Nordborg, Denmark",Denmark,M,N/A,N/A
Bruce Karsh,68,$2.4B,Finance & Investments,Private equity,TRUE,"Los Angeles, California",United States,M,Married,3
Shlomo Kramer,58,$2.4B,Technology,"Software, investments",TRUE,"Tel Aviv, Israel",Israel,M,N/A,N/A
Geoffrey Kwok,38,$2.4B,Real Estate,Real estate,FALSE,"Hong Kong, Hong Kong",Hong Kong,M,Single,N/A
Jonathan Kwok,32,$2.4B,Real Estate,Real Estate,FALSE,"Hong Kong, Hong Kong",Hong Kong,M,N/A,N/A
Lam Kong,59,$2.4B,Healthcare,Pharmaceuticals,TRUE,"Hong Kong, Hong Kong",China,M,N/A,N/A
Angela Leong,63,$2.4B,Real Estate,Casinos,FALSE,"Hong Kong, Hong Kong",Hong Kong,F,Widowed,5
Solomon Lew,79,$2.4B,Fashion & Retail,Retail,TRUE,"Melbourne, Australia",Australia,M,Married,3
Liang Xinjun,55,$2.4B,Finance & Investments,Investments,TRUE,"Singapore, Singapore",Singapore,M,Married,1
Jimmy John Liautaud,60,$2.4B,Food & Beverage,Sandwich chain,TRUE,"Key Largo, Florida",United States,M,Married,3
Kishore Mariwala,89,$2.4B,Food & Beverage,Consumer goods,FALSE,"Mumbai, India",India,M,Married,2
Katarina Martinson,42,$2.4B,Diversified,Investments,FALSE,"Stockholm, Sweden",Sweden,F,Married,N/A
Dmitry Mazepin,55,$2.4B,Manufacturing,Chemicals,TRUE,"Moscow, Russia",Russia,M,Divorced,4
Kailashchandra Nuwal,66,$2.4B,Manufacturing,Industrial explosives,FALSE,"Nagpur, India",India,M,Married,2
Ajay Parekh,66,$2.4B,Manufacturing,Adhesives,FALSE,"Mumbai, India",India,M,Married,2
Narendrakumar Parekh,85,$2.4B,Manufacturing,Adhesives,FALSE,"Mumbai, India",India,M,Married,3
Andreas Pohl,59,$2.4B,Finance & Investments,Mutual funds,FALSE,"Marburg, Germany",Germany,M,Married,3
Bris Rocher,45,$2.4B,Fashion & Retail,cosmetics,FALSE,"Rennes, France",France,M,N/A,N/A
Daniel Rocher,70,$2.4B,Fashion & Retail,cosmetics,FALSE,"Rennes, France",France,M,Married,2
Stephen Rubin,87,$2.4B,Fashion & Retail,Sports apparel,FALSE,"London, United Kingdom",United Kingdom,M,Married,4
Atul Ruia,53,$2.4B,Real Estate,Real estate,FALSE,"Mumbai, India",India,M,Married,2
Ferit Faik Sahenk,60,$2.4B,Diversified,Diversified,FALSE,"Istanbul, Turkey",Turkey,M,Married,1
Steven Sarowitz,58,$2.4B,Technology,Payroll software,TRUE,"Highland Park, Illinois",United States,M,Married,N/A
Airat Shaimiev,62,$2.4B,Energy,"Refinery, chemicals",TRUE,"Kazan, Russia",Russia,M,N/A,N/A
Basudeo Singh,83,$2.4B,Healthcare,Pharmaceuticals,TRUE,"Mumbai, India",India,M,Married,3
William Stone,68,$2.4B,Technology,Software,TRUE,"East Lyme, Connecticut",United States,M,Married,3
Sylvia Stroeher,68,$2.4B,Fashion & Retail,Cosmetics,FALSE,"Darmstadt, Germany",Germany,F,Married,1
Sun Shoukuan,74,$2.4B,Manufacturing,"Metals, coal",TRUE,"Yingkou, China",China,M,Married,2
Harley Sy,64,$2.4B,Diversified,Diversified,FALSE,"Manila, Philippines",Philippines,M,Married,N/A
Ivan Tavrin,47,$2.4B,Finance & Investments,Private equity,TRUE,"Moscow, Russia",Russia,M,Married,2
Wang Wenjing,59,$2.4B,Technology,Business software,TRUE,"Beijing, China",China,M,Married,1
Wang Xicheng & family,75,$2.4B,Manufacturing,Tires,TRUE,"Zhaoyuan, China",China,M,Married,N/A
Wang Yanqing & family,57,$2.4B,Manufacturing,Electrical equipment,TRUE,"Wuxi, China",China,M,Married,N/A
David Wertheim,66,$2.4B,Food & Beverage,Coca-Cola Israel,FALSE,Israel,Israel,M,Married,6
Yang Weidong & family,55,$2.4B,Manufacturing,Chemicals,TRUE,"Jiaxing, China",China,M,Married,N/A
Ye Chenghai & family,80,$2.4B,Healthcare,Pharmaceuticals,TRUE,"Hong Kong, Hong Kong",Hong Kong,M,Married,2
Yu Zhuyun,50,$2.4B,Construction & Engineering,Diversified,TRUE,Hong Kong,China,M,N/A,N/A
Zhang Bangxin,44,$2.4B,Service,Education,TRUE,"Beijing, China",China,M,N/A,N/A
Zhu Gongshan & family,66,$2.4B,Manufacturing,Solar panel materials,TRUE,"Shanghai, China",China,M,Married,2
Zou Zhinong & family,56,$2.4B,Manufacturing,communication equipment,TRUE,"Suzhou, China",China,M,Married,N/A
Leonard Abess,75,$2.3B,Finance & Investments,Banking,FALSE,"Miami, Florida",United States,M,N/A,N/A
Prem Kumar Arora,85,$2.3B,Healthcare,Pharmaceuticals,FALSE,"Delhi, India",India,M,Married,2
Pavel Baudis,63,$2.3B,Technology,Software,TRUE,"Prague, Czech Republic",Czech Republic,M,Married,2
Yvonne Bauer,47,$2.3B,Media & Entertainment,"Magazines, media",FALSE,"Hamburg, Germany",Germany,F,Married,N/A
R.G. Chandramogan,75,$2.3B,Food & Beverage,Dairy,TRUE,"Chennai, India",India,M,Married,2
Chao Teng-hsiung,79,$2.3B,Real Estate,Real estate,TRUE,"Taipei, Taiwan",Taiwan,M,Married,3
Bruce Cheng,87,$2.3B,Technology,Electronics,TRUE,"Taipei, Taiwan",Taiwan,M,Married,2
Cheng Yixiao,40,$2.3B,Media & Entertainment,Video streaming app,TRUE,"Beijing, China",China,M,N/A,N/A
Mark Davis,68,$2.3B,Sports,Las Vegas Raiders,FALSE,"Henderson, Nevada",United States,M,N/A,N/A
Anand Deshpande,61,$2.3B,Technology,Technology,TRUE,"Pune, India",India,M,Married,2
Egon Durban,50,$2.3B,Finance & Investments,Private equity,TRUE,"Atherton, California",United States,M,Married,3
